iter	Passed	Remaining
407	5352	7765
408	5364	7751
409	5376	7736
410	5390	7725
411	5401	7708
412	5411	7691
413	5423	7677
414	5433	7659
415	5444	7643
416	5456	7628
417	5473	7620
418	5486	7607
419	5501	7597
420	5515	7585
421	5528	7572
422	5540	7557
423	5550	7540
424	5566	7530
425	5575	7512
426	5591	7503
427	5602	7487
428	5612	7470
429	5638	7473
430	5649	7457
431	5660	7442
432	5671	7426
433	5687	7416
434	5699	7403
435	5712	7390
436	5723	7373
437	5733	7356
438	5747	7344
439	5759	7330
440	5775	7321
441	5792	7312
442	5806	7301
443	5817	7285
444	5829	7270
445	5839	7253
446	5851	7238
447	5869	7232
448	5883	7219
449	5896	7206
450	5910	7194
451	5925	7183
452	5940	7173
453	5951	7157
454	5965	7146
455	5978	7132
456	5989	7116
457	6005	7107
458	6016	7091
459	6027	7075
460	6040	7063
461	6053	7049
462	6066	7036
463	6078	7021
464	6093	7010
465	6110	7002
466	6120	6985
467	6137	6977
468	6149	6962
469	6164	6951
470	6181	6942
471	6198	6933
472	6210	6919
473	6222	6904
474	6236	6892
475	6252	6882
476	6263	6867
477	6278	6856
478	6291	6843
479	6306	6832
480	6323	6823
481	6332	6805
482	6349	6796
483	6362	6782
484	6376	6771
485	6388	6756
486	6400	6742
487	6415	6731
488	6428	6717
489	6439	6702
490	6450	6687
491	6464	6674
492	6476	6659
493	6485	6643
494	6497	6628
495	6509	6614
496	6519	6598
497	6529	6581
498	6543	6570
499	6554	6554
500	6565	6539
501	6576	6524
502	6586	6507
503	6601	6496
504	6619	6487
505	6638	6480
506	6654	6470
507	6668	6458
508	6680	6444
509	6696	6433
510	6707	6418
511	6718	6403
512	6730	6389
513	6744	6376
514	6756	6363
515	6768	6348
516	6782	6336
517	6802	6329
518	6817	6318
519	6827	6302
520	6843	6292
521	6854	6277
522	6866	6262
523	6879	6249
524	6891	6235
525	6901	6219
526	6918	6209
527	6935	6199
528	6946	6185
529	6961	6173
530	6974	6159
531	6984	6143
532	6995	6129
533	7007	6115
534	7021	6102
535	7032	6088
536	7046	6075
537	7059	6062
538	7070	6047
539	7084	6034
540	7096	6020
541	7108	6006
542	7128	5999
543	7153	5996
544	7169	5985
545	7180	5970
546	7197	5960
547	7211	5947
548	7220	5931
549	7231	5916
550	7246	5905
551	7260	5892
552	7270	5876
553	7283	5863
554	7296	5850
555	7307	5835
556	7322	5823
557	7334	5809
558	7347	5796
559	7361	5783
560	7374	5770
561	7387	5757
562	7400	5743
563	7413	5730
564	7426	5717
565	7437	5702
566	7448	5688
567	7461	5674
568	7475	5662
569	7489	5650
570	7503	5637
571	7516	5624
572	7526	5608
573	7539	5595
574	7548	5579
575	7563	5567
576	7571	5551
577	7587	5539
578	7601	5527
579	7611	5512
580	7620	5495
581	7636	5484
582	7652	5473
583	7664	5459
584	7675	5445
585	7690	5433
586	7704	5420
587	7717	5407
588	7731	5394
589	7745	5382
590	7756	5368
591	7771	5355
592	7781	5341
593	7797	5329
594	7810	5316
595	7824	5303
596	7835	5289
597	7847	5275
598	7859	5261
599	7870	5246
600	7879	5231
601	7891	5217
602	7901	5202
603	7918	5191
604	7930	5177
605	7941	5163
606	7953	5149
607	7963	5134
608	7975	5120
609	7985	5105
610	7997	5091
611	8007	5076
612	8016	5060
613	8036	5052
614	8049	5039
615	8060	5024
616	8070	5009
617	8081	4995
618	8093	4981
619	8106	4968
620	8115	4953
621	8125	4938
622	8137	4924
623	8150	4910
624	8161	4896
625	8171	4881
626	8182	4867
627	8191	4852
628	8205	4839
629	8217	4826
630	8227	4811
631	8238	4796
632	8250	4783
633	8260	4768
634	8274	4756
635	8290	4745
636	8303	4731
637	8316	4718
638	8331	4706
639	8345	4694
640	8358	4681
641	8369	4666
642	8379	4652
643	8394	4640
644	8405	4626
645	8419	4613
646	8430	4599
647	8441	4585
648	8452	4571
649	8463	4557
650	8475	4543
651	8484	4528
652	8495	4514
653	8506	4500
654	8519	4487
655	8534	4475
656	8548	4462
657	8559	4448
658	8572	4435
659	8605	4432
660	8621	4421
661	8635	4409
662	8647	4395
663	8659	4381
664	8671	4368
665	8685	4355
666	8697	4342
667	8709	4328
668	8721	4315
