iter	RMSE
0	901.7484703
1	870.3789081
2	844.1341981
3	821.674106
4	802.5817537
5	785.0593415
6	771.1668407
7	759.0689813
8	748.4303596
9	738.8289621
10	730.7484841
11	722.8665002
12	716.0407958
13	710.2182512
14	704.8154551
15	700.1618476
16	696.1063299
17	692.4382906
18	689.3164329
19	686.5703378
20	683.1544019
21	677.3225954
22	674.8841863
23	670.7110458
24	669.1261656
25	665.2511243
26	663.448419
27	661.7373363
28	658.5497475
29	656.37203
30	655.1868075
31	653.8651487
32	652.0846801
33	650.2331529
34	649.5508199
35	648.728936
36	647.5547976
37	646.8704788
38	645.5872501
39	644.3806605
40	643.5925027
41	642.5368232
42	641.5767375
43	640.989527
44	640.2385448
45	639.4671865
46	638.1054155
47	637.5806505
48	637.0983049
49	636.0539985
50	635.1024584
51	634.4663485
52	633.1758262
53	632.5403261
54	632.1570481
55	631.8634688
56	631.4451779
57	630.4524201
58	630.1447705
59	629.7789264
60	629.40891
61	628.8923442
62	628.3327134
63	628.1481386
64	627.5598978
65	626.8743291
66	626.2565802
67	625.9839376
68	625.6926849
69	625.414797
70	624.9686293
71	624.264261
72	624.0910515
73	623.7520206
74	623.622887
75	623.3112868
76	623.0401629
77	622.801518
78	622.5870758
79	622.2725687
80	622.0571614
81	621.891587
82	621.7804427
83	621.4135521
84	620.85092
85	620.4367397
86	620.0086317
87	619.7210351
88	619.5545288
89	619.1946603
90	619.0209305
91	618.8393194
92	618.535552
93	618.2563173
94	618.2129007
95	617.5324527
96	617.225559
97	617.0673963
98	616.9085601
99	616.6969957
100	616.5692409
101	616.4723786
102	616.2698638
103	616.1010637
104	615.9365386
105	615.8191427
106	615.6895055
107	615.563709
108	615.3971811
109	615.2353808
110	615.0702817
111	614.9193801
112	614.4421129
113	614.2775618
114	614.1265785
115	613.8513071
116	613.6789987
117	613.5189409
118	613.3941175
119	613.2947119
120	613.0333259
121	612.9699157
122	612.629514
123	612.4273085
124	612.2567106
125	612.1293551
126	611.9954117
127	611.9288743
128	611.8116357
129	611.4815881
130	611.2212708
131	611.0628454
132	610.9656868
133	610.9123967
134	610.6339672
135	610.560205
136	610.5102741
137	610.398428
138	610.2361998
139	610.0581689
140	610.0172167
141	609.8652315
142	609.4930686
143	609.2654258
144	609.1865825
145	609.0604642
146	609.0354464
147	608.7796523
148	608.6953875
149	608.6002001
150	608.4817229
151	608.3474716
152	608.2446333
153	608.1135253
154	608.0520459
155	607.7804706
156	607.7138487
157	607.65743
158	607.5880768
159	607.532399
160	607.3731343
161	607.2755875
162	607.1776492
163	607.0916599
164	607.0289476
165	606.9804455
166	606.9041046
167	606.8182974
168	606.7373904
169	606.6703242
170	606.5767008
171	606.5263556
172	606.462915
173	606.3990805
174	606.3366485
175	606.2244349
176	606.1645415
177	606.0896738
178	606.0168782
179	605.9678704
180	605.9194232
181	605.8659665
182	605.8206677
183	605.7950365
184	605.7322608
185	605.6375984
186	605.4880106
187	605.4241722
188	605.3438919
189	605.3128573
190	605.2614364
191	605.1324759
192	605.1181836
193	604.9443752
194	604.9233515
195	604.8684292
196	604.824921
197	604.7236949
198	604.6807712
199	604.6599042
200	604.6477499
201	604.598887
202	604.5239946
203	604.493559
204	604.4556766
205	604.3788847
206	604.3637899
207	604.3280421
208	604.2956924
209	604.2424369
210	604.205089
211	604.1228308
212	604.0753787
213	604.0636326
214	604.0119201
215	603.9331846
216	603.735742
217	603.615657
218	603.5095253
219	603.4790624
220	603.4436861
221	603.434006
222	603.4092143
223	603.3752611
224	603.3330504
225	603.2564334
226	603.2323937
227	603.2208855
228	603.0593576
229	603.0316216
230	603.0110008
231	602.9886993
232	602.9336828
233	602.8709932
234	602.8410828
235	602.7927154
236	602.6811312
237	602.6590496
238	602.6342688
239	602.5975188
240	602.4831813
241	602.461555
242	602.3623603
243	602.3029405
244	602.2621607
245	602.2211711
246	602.2091576
247	602.18386
248	602.1656082
249	602.1368389
250	602.1098047
251	602.0770709
252	602.0461855
253	602.0191887
254	601.9378008
255	601.8410015
256	601.8195217
257	601.7967318
258	601.76259
259	601.7291899
260	601.6755774
261	601.653464
262	601.5920021
263	601.5751312
264	601.5298185
265	601.5228899
266	601.4148718
267	601.3833022
268	601.3385711
269	601.3146791
270	601.2755449
271	601.2167227
272	601.2079455
273	601.1015609
274	601.0704272
275	601.0633247
276	600.9140541
277	600.7222852
278	600.6041535
279	600.5524851
280	600.489561
281	600.4486858
282	600.3701157
283	600.3606447
284	600.3124574
285	600.1735305
286	600.1228572
287	600.0677483
288	600.0418403
289	600.0201265
290	599.9489448
291	599.9068243
292	599.816406
293	599.7852702
294	599.7773792
295	599.6520016
296	599.6412945
297	599.6020244
298	599.5234418
299	599.4886323
300	599.4387739
301	599.4144605
302	599.3704375
303	599.343433
